Data;Hora;ID do Pedido;Código;Produto;Categoria;SubCategoria;Quantidade; Preço Unitário ; Total do Pedido ; Custo Unitário ; Custo Total ;Forma de Pagamento;Tipo;Localidade; Bairro 
01/01/2023;13:12;29;231;CARNE DE SOL NORDESTINA;ALIMENTOS; PRATOS DE CARNES;3;R$ 107,58 ;R$ 322,74 ;R$ 19,79 ;59,38;Cartão de Crédito;Presencial;Sorocaba;Jardim Paulista
01/01/2023;20:08;30;100;CAVALA EM POSTA;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;4;R$ 109,63 ;R$ 438,52 ;R$ 20,99 ;83,94;Cartão de Crédito;Presencial;Sorocaba;Jardim Tulipas
01/01/2023;12:18;31;354;TILAPIA ESCABECHE;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;2;R$ 119,97 ;R$ 239,94 ;R$ 47,08 ;94,16;Cartão de Crédito;Presencial;Sorocaba;Jardim Piazza Di Roma
01/01/2023;20:16;32;203;FILE MIGNON TRINCHADO;ALIMENTOS; PRATOS DE CARNES;2;R$ 129,00 ;R$ 258,00 ;R$ 43,70 ;87,41;Dinheiro;Presencial;Votorantim;Jardim Tatiana
01/01/2023;12:19;33;108;FILE DE PESCADA AMARELA NO AZEITE NA CROSTA DE CASTANHA;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;3;R$ 179,79 ;R$ 539,37 ;R$ 45,56 ;136,69;Dinheiro;Delivery;Sorocaba;Vila Serrana
02/01/2023;11:56;34;950;LIMAO SUMO 40ML;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;5;R$ 2,00 ;R$ 10,00 ;R$ 0,90 ;4,51;Cartão de Crédito;Presencial;Sorocaba;Jardim São Paulo
02/01/2023;22:06;35;300;ARROZ BRANCO;ALIMENTOS; ACOMPANHAMENTOS;3;R$ 4,00 ;R$ 12,00 ;R$ 0,76 ;2,28;Dinheiro;Presencial;Sorocaba;Jardim Piazza Di Roma
02/01/2023;12:17;36;892;CERVEJA LATA  AMSTEL LAGER 350ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;155;R$ 4,64 ;R$ 719,20 ;R$ 2,56 ;396,8;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
02/01/2023;20:02;37;2397;CACHACA YPIOCA OURO DOSE;BEBIDAS ALCOOLICAS ; CACHACAS;1;R$ 5,47 ;R$ 5,47 ;R$ 0,89 ;0,89;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
02/01/2023;20:23;38;672;REFRIGERANTE TONICA CITRUS SCHWEPPES;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;4;R$ 7,00 ;R$ 28,00 ;R$ 2,64 ;10,56;Pix;Delivery;Sorocaba;Jardim Tulipas
02/01/2023;11:37;39;901;REFRIGERANTE KS COCA COLA ZERO 290ML;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;66;R$ 7,85 ;R$ 518,10 ;R$ 2,03 ;133,98;Pix;Presencial;Sorocaba;Jardim Vergueiro
02/01/2023;19:31;40;504;CACHACA YPIOCA 150 ANOS DOSE;BEBIDAS ALCOOLICAS ; CACHACAS;4;R$ 7,87 ;R$ 31,48 ;R$ 3,79 ;15,16;Cartão de Crédito;Presencial;Sorocaba;Jardim Piazza Di Roma
02/01/2023;11:25;41;554;CAMPARI DOSE;BEBIDAS ALCOOLICAS ; DESTILADOS DIVERSOS;3;R$ 7,90 ;R$ 23,70 ;R$ 3,00 ;9;Dinheiro;Presencial;Sorocaba;Jardim São Paulo
02/01/2023;22:39;42;965;SUCO COPO MARACUJA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;21;R$ 9,81 ;R$ 206,01 ;R$ 1,92 ;40,29;Cartão de Crédito;Delivery;Sorocaba;Campolim
02/01/2023;19:41;43;964;SUCO COPO LARANJA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;20;R$ 9,84 ;R$ 196,80 ;R$ 3,44 ;68,82;Pix;Presencial;Votorantim;Jardim Tatiana
02/01/2023;13:14;44;325;CACHACA AVIADOR PRATA 500ML;BEBIDAS ALCOOLICAS ; CACHACAS;2;R$ 11,90 ;R$ 23,80 ;R$ 3,99 ;7,98;Dinheiro;Delivery;Sorocaba;Jardim Vergueiro
02/01/2023;21:03;45;966;SUCO COPO MORANGO;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;3;R$ 12,78 ;R$ 38,34 ;R$ 3,06 ;9,17;Cartão de Crédito;Presencial;Votorantim;Vila Nova
02/01/2023;22:35;46;972;SUCO COPO LIMONADA SUICA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;1;R$ 12,84 ;R$ 12,84 ;R$ 1,96 ;1,96;Pix;Presencial;Sorocaba;Campolim
02/01/2023;19:48;47;830;CERVEJA LN HEINEKEN ZERO ALCOOL 330ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;2;R$ 15,68 ;R$ 31,36 ;R$ 6,06 ;12,12;Pix;Delivery;Votorantim;Vila Nova
02/01/2023;14:03;48;842;CERVEJA HEINEKEN LN 330ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;9;R$ 15,87 ;R$ 142,83 ;R$ 4,82 ;43,41;Dinheiro;Presencial;Sorocaba;Jardim Piazza Di Roma
02/01/2023;22:32;49;859;CERVEJA EISENBAHN PILSEN 600ML;BEBIDAS ALCOOLICAS ; CERVEJAS 600ML;14;R$ 17,86 ;R$ 250,04 ;R$ 5,76 ;80,63;Dinheiro;Presencial;Sorocaba;Campolim
02/01/2023;22:23;50;880;CERVEJA EISENBAHN IPA LONG NECK 355ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;1;R$ 17,90 ;R$ 17,90 ;R$ 6,51 ;6,51;Dinheiro;Delivery;Sorocaba;Campolim
02/01/2023;20:20;51;1901;SOBREMESA CHARLOTE UND; DOCES ; TORTAS ;1;R$ 18,53 ;R$ 18,53 ;R$ 12,60 ;12,6;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
02/01/2023;21:38;52;796;COQUETEL SEM ALCOOL PESSEGO FREE;DRINKS; COQUETEIS;1;R$ 19,90 ;R$ 19,90 ;R$ 10,33 ;10,33;Cartão de Crédito;Delivery;Votorantim;Vossoroca
02/01/2023;20:59;53;3;CALDO DE PEIXE;ALIMENTOS; ENTRADAS;7;R$ 19,91 ;R$ 139,37 ;R$ 2,00 ;14;Pix;Presencial;Sorocaba;Jardim Tulipas
02/01/2023;11:26;54;61;PASTEL QUEIJO 06 UNIDADE;ALIMENTOS; ENTRADAS;24;R$ 21,72 ;R$ 521,28 ;R$ 8,05 ;193,11;Pix;Presencial;Sorocaba;Jardim São Paulo
02/01/2023;12:35;55;89;CERVEJA LAGUNITA 355ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;1;R$ 22,90 ;R$ 22,90 ;R$ 8,19 ;8,19;Dinheiro;Presencial;Sorocaba;Jardim Piazza Di Roma
02/01/2023;20:00;56;602;CAIP ESPECIAIS YPIOCA;DRINKS; COQUETEIS;4;R$ 22,90 ;R$ 91,60 ;R$ 3,56 ;14,23;Cartão de Crédito;Delivery;Sorocaba;Vila Hortência
02/01/2023;14:36;57;630;CAIP FRUTA VODKA SMIRNOFF;DRINKS; CAIPIROSCAS DE FRUTA;13;R$ 23,77 ;R$ 309,01 ;R$ 4,96 ;64,45;Pix;Delivery;Sorocaba;Jardim São Paulo
02/01/2023;14:03;58;631;CAIP FRUTA MISTA VODKA SMIRNOFF;DRINKS; CAIPIROSCAS MISTAS;1;R$ 24,87 ;R$ 24,87 ;R$ 9,34 ;9,34;Pix;Presencial;Sorocaba;Jardim Piazza Di Roma
02/01/2023;11:08;59;632;CAIP ESPECIAIS VODKA SMIRNOFF;DRINKS; COQUETEIS;1;R$ 25,62 ;R$ 25,62 ;R$ 9,67 ;9,67;Pix;Delivery;Sorocaba;Vila Serrana
02/01/2023;12:46;60;690;CAIP FRUTA VODKA KETEL ONE;DRINKS; CAIPIROSCAS DE FRUTA;1;R$ 26,88 ;R$ 26,88 ;R$ 10,63 ;10,63;Dinheiro;Delivery;Sorocaba;Jardim Europa
02/01/2023;14:00;61;786;COQUETEL GORDONS TONIC PINK;DRINKS; COQUETEIS;1;R$ 26,90 ;R$ 26,90 ;R$ 15,09 ;15,09;Pix;Presencial;Votorantim;Jardim Serrano
02/01/2023;22:42;62;16;MACAXEIRA FRITA;ALIMENTOS; ENTRADAS;17;R$ 27,86 ;R$ 473,62 ;R$ 2,29 ;38,96;Pix;Presencial;Sorocaba;Campolim
02/01/2023;11:52;63;65;PASTEL CAMARAO COM CATUPIRI 06 UNIDADE;ALIMENTOS; ENTRADAS;17;R$ 28,85 ;R$ 490,45 ;R$ 8,63 ;146,67;Pix;Presencial;Sorocaba;Jardim São Paulo
02/01/2023;21:26;64;172;ARROZ DE CAMARAO INDIVIDUAL;ALIMENTOS; PRATOS RISOTOS;5;R$ 35,00 ;R$ 175,00 ;R$ 21,07 ;105,34;Dinheiro;Delivery;Votorantim;Vossoroca
02/01/2023;14:30;65;171;ARROZ DE CAMARAO;ALIMENTOS; PRATOS RISOTOS;2;R$ 60,00 ;R$ 120,00 ;R$ 40,37 ;80,73;Cartão de Crédito;Presencial;Sorocaba;Campolim
02/01/2023;21:24;66;8;CAMARAO A MILANESA;ALIMENTOS; ENTRADAS;2;R$ 69,37 ;R$ 138,74 ;R$ 19,18 ;38,35;Cartão de Crédito;Presencial;Votorantim;Jardim Primavera
02/01/2023;21:51;67;123;TILAPIA FRITA GRANDE;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;5;R$ 138,55 ;R$ 692,75 ;R$ 39,22 ;196,09;Cartão de Crédito;Presencial;Votorantim;Vossoroca
02/01/2023;13:17;68;362;FRIGIDEIRA DE MARISCOS;ALIMENTOS; PRATOS RISOTOS;1;R$ 139,89 ;R$ 139,89 ;R$ 63,53 ;63,53;Dinheiro;Delivery;Sorocaba;Jardim Vergueiro
02/01/2023;19:08;69;140;CAMARAO TROPICAL;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;3;R$ 150,12 ;R$ 450,36 ;R$ 39,96 ;119,88;Dinheiro;Delivery;Sorocaba;Vila Hortência
02/01/2023;22:18;70;110;POLVO AO FORNO;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;1;R$ 168,00 ;R$ 168,00 ;R$ 56,57 ;56,57;Pix;Delivery;Sorocaba;Campolim
02/01/2023;13:58;71;151;FILE DE PEIXE AO MOLHO DE CAMARAO;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;1;R$ 213,51 ;R$ 213,51 ;R$ 54,45 ;54,45;Cartão de Crédito;Presencial;Votorantim;Jardim Serrano
02/01/2023;19:14;72;119;CHAPA DE MARISCO;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;1;R$ 213,72 ;R$ 213,72 ;R$ 69,72 ;69,72;Pix;Presencial;Sorocaba;Campolim
03/01/2023;12:48;73;892;CERVEJA LATA  AMSTEL LAGER 350ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;2;R$ 4,64 ;R$ 9,28 ;R$ 2,56 ;5,12;Cartão de Crédito;Presencial;Sorocaba;Jardim Vergueiro
03/01/2023;20:55;74;500;CACHACA YPIOCA PRATA DOSE;BEBIDAS ALCOOLICAS ; CACHACAS;2;R$ 5,50 ;R$ 11,00 ;R$ 0,69 ;1,38;Cartão de Crédito;Presencial;Sorocaba;Jardim Tulipas
03/01/2023;14:38;75;900;REFRIGERANTE KS COCA COLA 290ML;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;53;R$ 7,81 ;R$ 413,93 ;R$ 2,03 ;107,59;Dinheiro;Delivery;Sorocaba;Campolim
03/01/2023;20:41;76;939;REFRIGE GUARANA ANTARTICA ZERO LATA 350ML;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;4;R$ 8,84 ;R$ 35,36 ;R$ 2,25 ;9;Cartão de Crédito;Presencial;Sorocaba;Jardim Tulipas
03/01/2023;12:39;77;965;SUCO COPO MARACUJA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;3;R$ 9,81 ;R$ 29,43 ;R$ 1,92 ;5,76;Cartão de Crédito;Presencial;Votorantim;Jardim Tatiana
03/01/2023;14:06;78;964;SUCO COPO LARANJA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;10;R$ 9,84 ;R$ 98,40 ;R$ 3,44 ;34,41;Cartão de Crédito;Presencial;Sorocaba;Jardim do Sol
03/01/2023;20:00;79;830;CERVEJA LN HEINEKEN ZERO ALCOOL 330ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;4;R$ 15,68 ;R$ 62,72 ;R$ 6,06 ;24,24;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
03/01/2023;19:31;80;336;PIRAO DE PEIXE;ALIMENTOS; ACOMPANHAMENTOS;1;R$ 18,90 ;R$ 18,90 ;R$ 5,49 ;5,49;Dinheiro;Presencial;Sorocaba;Jardim Piazza Di Roma
03/01/2023;19:16;81;601;CAIP FRUTAS MISTAS YPIOCA;DRINKS; CAIPIROSCAS MISTAS;1;R$ 20,77 ;R$ 20,77 ;R$ 3,46 ;3,46;Cartão de Crédito;Presencial;Sorocaba;Jardim Piazza Di Roma
03/01/2023;21:31;82;432;WHISKY OLD PARR DOSE;BEBIDAS ALCOOLICAS ; WHISKIES;2;R$ 22,88 ;R$ 45,76 ;R$ 7,72 ;15,44;Dinheiro;Presencial;Votorantim;Jardim Primavera
03/01/2023;12:22;83;630;CAIP FRUTA VODKA SMIRNOFF;DRINKS; CAIPIROSCAS DE FRUTA;9;R$ 23,77 ;R$ 213,93 ;R$ 4,96 ;44,62;Pix;Presencial;Sorocaba;Jardim Europa
03/01/2023;20:57;84;67;PASTEL CARNE DO SOL COM QUEIJO 06 UNIDADE;ALIMENTOS; ENTRADAS;10;R$ 24,73 ;R$ 247,30 ;R$ 5,71 ;57,08;Pix;Presencial;Votorantim;Vila Nova
03/01/2023;11:11;85;1912;SOBREMESA PETIT GATEAU UND; DOCES ; TORTAS ;1;R$ 25,81 ;R$ 25,81 ;R$ 7,84 ;7,84;Cartão de Crédito;Delivery;Sorocaba;Jardim Europa
03/01/2023;21:09;86;763;COQUETEL MOJITO;DRINKS; COQUETEIS;1;R$ 26,90 ;R$ 26,90 ;R$ 6,72 ;6,72;Cartão de Crédito;Delivery;Votorantim;Vossoroca
03/01/2023;21:06;87;785;COQUETEL GORDONS TONIC CAJU DA TERRA;DRINKS; COQUETEIS;5;R$ 26,90 ;R$ 134,50 ;R$ 10,34 ;51,71;Dinheiro;Presencial;Votorantim;Vila Nova
03/01/2023;19:12;88;884;CERVEJA BADEN AMERICAN IPA LONG NECK 600ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;2;R$ 26,90 ;R$ 53,80 ;R$ 11,12 ;22,24;Cartão de Crédito;Presencial;Sorocaba;Jardim Piazza Di Roma
03/01/2023;11:08;89;65;PASTEL CAMARAO COM CATUPIRI 06 UNIDADE;ALIMENTOS; ENTRADAS;12;R$ 28,85 ;R$ 346,20 ;R$ 8,63 ;103,53;Cartão de Crédito;Presencial;Sorocaba;Vila Serrana
03/01/2023;21:49;90;770;COQUETEL TANQUERAY  TONIC;DRINKS; COQUETEIS;3;R$ 31,90 ;R$ 95,70 ;R$ 13,09 ;39,28;Cartão de Crédito;Presencial;Votorantim;Vila Nova
03/01/2023;21:12;91;172;ARROZ DE CAMARAO INDIVIDUAL;ALIMENTOS; PRATOS RISOTOS;1;R$ 35,00 ;R$ 35,00 ;R$ 21,07 ;21,07;Pix;Presencial;Sorocaba;Jardim Piazza Di Roma
03/01/2023;19:14;92;109;MOQUECA DE ARRAIA 200G;ALIMENTOS; ENTRADAS;2;R$ 36,03 ;R$ 72,06 ;R$ 7,29 ;14,57;Dinheiro;Presencial;Sorocaba;Campolim
03/01/2023;20:38;93;265;PEITO DE FRANGO INFANTIL;ALIMENTOS; PRATOS EXECUTIVOS E INFANTIS;1;R$ 38,44 ;R$ 38,44 ;R$ 8,24 ;8,24;Pix;Presencial;Votorantim;Jardim Primavera
03/01/2023;21:35;94;2;CASQUINHA DE CARANGUEJO;ALIMENTOS; ENTRADAS;24;R$ 39,88 ;R$ 957,12 ;R$ 6,41 ;153,89;Cartão de Crédito;Presencial;Votorantim;Vossoroca
03/01/2023;19:00;95;286;ESCONDIDINHO DE CARNE DE SOL INDIVIDUAL;ALIMENTOS; PRATOS DE CARNES;2;R$ 53,83 ;R$ 107,66 ;R$ 19,76 ;39,52;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
03/01/2023;13:14;96;163;ESCONDIDINHO DE CAMARAO INDIVIDUAL;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;3;R$ 59,44 ;R$ 178,32 ;R$ 16,51 ;49,54;Pix;Delivery;Sorocaba;Jardim Piazza Di Roma
03/01/2023;14:14;97;212;CAMARAO ALHO E ERVAS;ALIMENTOS; ENTRADAS;1;R$ 69,90 ;R$ 69,90 ;R$ 19,80 ;19,8;Dinheiro;Presencial;Sorocaba;Jardim Tulipas
03/01/2023;20:23;98;174;DELICIA DE CAMARAO;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;1;R$ 109,66 ;R$ 109,66 ;R$ 42,95 ;42,95;Pix;Delivery;Sorocaba;Jardim Tulipas
03/01/2023;11:58;99;106;FILE DE PARGO COM ALCAPARRAS;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;3;R$ 117,38 ;R$ 352,14 ;R$ 52,01 ;156,02;Dinheiro;Presencial;Sorocaba;Jardim São Paulo
03/01/2023;22:38;100;123;TILAPIA FRITA GRANDE;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;8;R$ 138,55 ;R$ 1.108,40 ;R$ 39,22 ;313,74;Cartão de Crédito;Presencial;Sorocaba;Campolim
03/01/2023;21:20;101;113;PEIXE A DELICIA;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;1;R$ 157,20 ;R$ 157,20 ;R$ 65,77 ;65,77;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
03/01/2023;19:58;102;103;PEIXE FRITO MEDIO;ALIMENTOS; PRATOS DE PEIXES FRUTOS DO MAR;3;R$ 189,82 ;R$ 569,46 ;R$ 59,79 ;179,38;Cartão de Crédito;Presencial;Sorocaba;Vila Hortência
04/01/2023;20:11;103;1114;REFRIGERANTE LATA FYS LIMAO 350ML;BEBIDAS NAO ALCOOLICAS ; REFRIGERANTE;1;R$ 5,00 ;R$ 5,00 ;R$ 2,39 ;2,39;Cartão de Crédito;Delivery;Sorocaba;Vila Hortência
04/01/2023;12:43;104;954;AGUA MINERAL INDAIA COM GAS 500ML;BEBIDAS NAO ALCOOLICAS ; AGUA MINERAL;33;R$ 5,05 ;R$ 166,65 ;R$ 1,34 ;44,31;Dinheiro;Delivery;Sorocaba;Jardim Europa
04/01/2023;11:35;105;946;AGUA MINERAL INDAIA SEM GAS 500ML;BEBIDAS NAO ALCOOLICAS ; AGUA MINERAL;117;R$ 5,28 ;R$ 617,76 ;R$ 1,14 ;133,1;Cartão de Crédito;Delivery;Sorocaba;Jardim São Paulo
04/01/2023;14:27;106;921;AGUA MINERAL SCHIN 500ML  COM GAS;BEBIDAS NAO ALCOOLICAS ; AGUA MINERAL;4;R$ 5,50 ;R$ 22,00 ;R$ 2,01 ;8,04;Cartão de Crédito;Presencial;Sorocaba;Jardim São Paulo
04/01/2023;21:52;107;567;CACHACA YPIOCA OURO EMPALHADA 965ML;BEBIDAS ALCOOLICAS ; CACHACAS;3;R$ 6,90 ;R$ 20,70 ;R$ 1,86 ;5,58;Cartão de Crédito;Presencial;Votorantim;Vila Nova
04/01/2023;20:26;108;866;CERVEJA LN SOL PREMIUM 330ML;BEBIDAS ALCOOLICAS ; CERVEJA LONG NECK;1;R$ 7,87 ;R$ 7,87 ;R$ 5,66 ;5,66;Pix;Presencial;Votorantim;Vossoroca
04/01/2023;14:32;109;962;SUCO COPO GRAVIOLA;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;2;R$ 9,89 ;R$ 19,78 ;R$ 1,94 ;3,87;Pix;Presencial;Sorocaba;Vila Hortência
04/01/2023;12:06;110;966;SUCO COPO MORANGO;BEBIDAS NAO ALCOOLICAS ; SUCOS DE FRUTA;5;R$ 12,78 ;R$ 63,90 ;R$ 3,06 ;15,28;Pix;Presencial;Sorocaba;Jardim do Sol
